tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2008-580,Australian Open,Hard,128,G,20080114,80,103970,5.0,,David Ferrer,R,175.0,ESP,25.7,105223,,,Juan Martin del Potro,R,198.0,ARG,19.3,6-3 6-4 RET,5,R64,98.0,1.0,1.0,53.0,40.0,28.0,5.0,9.0,1.0,3.0,0.0,2.0,77.0,62.0,32.0,7.0,10.0,7.0,12.0,5.0,2615.0,53.0,625.0
2008-605,Masters Cup,Hard,8,F,20081109,1,104925,,,Novak Djokovic,R,188.0,SRB,21.4,105223,,,Juan Martin del Potro,R,198.0,ARG,20.1,7-5 6-3,3,RR,117.0,8.0,4.0,72.0,39.0,29.0,17.0,11.0,3.0,5.0,2.0,1.0,66.0,41.0,24.0,13.0,10.0,7.0,11.0,3.0,4645.0,8.0,1845.0
2008-605,Masters Cup,Hard,8,F,20081109,7,103786,,,Nikolay Davydenko,R,178.0,RUS,27.4,105223,,,Juan Martin del Potro,R,198.0,ARG,20.1,6-3 6-2,3,RR,87.0,5.0,1.0,47.0,25.0,19.0,16.0,9.0,2.0,3.0,0.0,1.0,55.0,31.0,18.0,9.0,8.0,1.0,5.0,5.0,2315.0,8.0,1845.0
2008-D043,Davis Cup WG F: ARG vs ESP,Hard,4,D,20081121,2,103852,,,Feliciano Lopez,L,188.0,ESP,27.1,105223,,,Juan Martin del Potro,R,198.0,ARG,20.1,4-6 7-6(2) 7-6(4) 6-3,5,RR,,,,,,,,,,,,,,,,,,,,31.0,1005.0,9.0,1945.0
2009-352,Paris Masters,Hard,48,M,20091108,42,103285,13.0,,Radek Stepanek,R,185.0,CZE,30.9,105223,5.0,,Juan Martin del Potro,R,198.0,ARG,21.1,4-0 RET,3,QF,28.0,1.0,0.0,24.0,14.0,10.0,4.0,2.0,3.0,3.0,0.0,0.0,15.0,13.0,5.0,0.0,2.0,0.0,2.0,14.0,2310.0,5.0,6050.0
2009-402,Memphis,Hard,32,A,20090216,28,103285,5.0,,Radek Stepanek,R,185.0,CZE,30.2,105223,2.0,,Juan Martin del Potro,R,198.0,ARG,20.3,7-6(7) 6-4,3,QF,128.0,11.0,6.0,90.0,56.0,44.0,14.0,11.0,5.0,6.0,11.0,3.0,86.0,58.0,41.0,12.0,11.0,5.0,7.0,19.0,2640.0,7.0,4350.0
2009-403,Miami Masters,Hard,96,M,20090325,93,104918,4.0,,Andy Murray,R,190.0,GBR,21.8,105223,6.0,,Juan Martin del Potro,R,198.0,ARG,20.4,6-1 5-7 6-2,3,SF,137.0,6.0,3.0,74.0,48.0,35.0,17.0,14.0,0.0,2.0,4.0,3.0,86.0,51.0,34.0,15.0,13.0,6.0,11.0,4.0,7850.0,7.0,4470.0
2009-416,Rome Masters,Clay,56,M,20090427,51,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.9,105223,5.0,,Juan Martin del Potro,R,198.0,ARG,20.5,6-3 6-4,3,QF,97.0,4.0,3.0,64.0,41.0,27.0,15.0,10.0,2.0,3.0,2.0,3.0,55.0,29.0,20.0,11.0,9.0,3.0,6.0,3.0,9160.0,5.0,4580.0
2009-421,Canada Masters,Hard,56,M,20090810,55,104918,3.0,,Andy Murray,R,190.0,GBR,22.2,105223,6.0,,Juan Martin del Potro,R,198.0,ARG,20.8,6-7(4) 7-6(3) 6-1,3,F,165.0,16.0,1.0,89.0,46.0,39.0,29.0,16.0,1.0,3.0,11.0,5.0,121.0,69.0,46.0,25.0,15.0,6.0,10.0,3.0,8260.0,6.0,5155.0
2009-424,San Jose,Hard,32,A,20090209,28,103888,5.0,,Mardy Fish,R,188.0,USA,27.1,105223,2.0,,Juan Martin del Potro,R,198.0,ARG,20.3,6-3 6-4,3,QF,88.0,19.0,1.0,68.0,39.0,30.0,18.0,10.0,4.0,4.0,6.0,3.0,67.0,44.0,30.0,11.0,9.0,5.0,7.0,24.0,2270.0,7.0,4350.0
2009-540,Wimbledon,Grass,128,G,20090622,65,103720,,,Lleyton Hewitt,R,180.0,AUS,28.3,105223,5.0,,Juan Martin del Potro,R,198.0,ARG,20.7,6-3 7-5 7-5,5,R64,153.0,14.0,3.0,115.0,59.0,49.0,29.0,17.0,7.0,8.0,10.0,4.0,93.0,55.0,40.0,18.0,16.0,5.0,9.0,56.0,1040.0,5.0,5730.0
2009-605,Tour Finals,Hard,8,F,20091122,7,104918,,,Andy Murray,R,190.0,GBR,22.5,105223,,,Juan Martin del Potro,R,198.0,ARG,21.1,6-3 3-6 6-2,3,RR,131.0,8.0,2.0,84.0,46.0,34.0,16.0,13.0,2.0,5.0,4.0,5.0,88.0,58.0,36.0,11.0,13.0,7.0,12.0,4.0,6630.0,5.0,5985.0
2009-605,Tour Finals,Hard,8,F,20091122,9,103786,,,Nikolay Davydenko,R,178.0,RUS,28.4,105223,,,Juan Martin del Potro,R,198.0,ARG,21.1,6-3 6-4,3,F,84.0,7.0,2.0,57.0,38.0,33.0,11.0,10.0,3.0,3.0,8.0,0.0,57.0,36.0,26.0,9.0,9.0,3.0,5.0,7.0,3630.0,5.0,5985.0
2010-580,Australian Open,Hard,128,G,20100118,118,105227,14.0,,Marin Cilic,R,198.0,CRO,21.3,105223,4.0,,Juan Martin del Potro,R,198.0,ARG,21.3,5-7 6-4 7-5 5-7 6-3,5,R16,278.0,20.0,7.0,173.0,101.0,84.0,34.0,28.0,7.0,10.0,19.0,3.0,181.0,108.0,78.0,40.0,27.0,12.0,16.0,14.0,2430.0,5.0,6580.0
2010-329,Tokyo,Hard,32,A,20101004,8,103852,6.0,,Feliciano Lopez,L,188.0,ESP,29.0,105223,,,Juan Martin del Potro,R,198.0,ARG,22.0,6-3 6-0,3,R32,81.0,11.0,5.0,67.0,35.0,29.0,12.0,8.0,11.0,12.0,5.0,4.0,52.0,25.0,11.0,10.0,7.0,5.0,10.0,23.0,1685.0,36.0,1170.0
2011-338,Sydney,Hard,28,A,20110110,19,104252,,,Florian Mayer,R,190.0,GER,27.2,105223,,WC,Juan Martin del Potro,R,198.0,ARG,22.2,6-2 7-5,3,R16,74.0,10.0,2.0,49.0,35.0,29.0,11.0,10.0,0.0,0.0,4.0,3.0,58.0,26.0,19.0,16.0,10.0,1.0,4.0,37.0,1073.0,259.0,180.0
2011-580,Australian Open,Hard,128,G,20110117,78,104571,21.0,,Marcos Baghdatis,R,183.0,CYP,25.5,105223,,,Juan Martin del Potro,R,198.0,ARG,22.3,6-1 6-3 4-6 6-3,5,R64,162.0,15.0,5.0,103.0,51.0,45.0,25.0,18.0,3.0,5.0,9.0,3.0,109.0,76.0,46.0,17.0,17.0,6.0,12.0,22.0,1580.0,236.0,200.0
2011-424,San Jose,Hard,32,A,20110207,29,104269,1.0,,Fernando Verdasco,L,188.0,ESP,27.2,105223,,,Juan Martin del Potro,R,198.0,ARG,22.3,6-4 6-4,3,SF,97.0,5.0,1.0,56.0,34.0,28.0,14.0,10.0,0.0,1.0,8.0,0.0,60.0,40.0,25.0,13.0,10.0,3.0,6.0,9.0,3240.0,484.0,65.0
2011-402,Memphis,Hard,32,A,20110214,29,104053,1.0,,Andy Roddick,R,188.0,USA,28.4,105223,,WC,Juan Martin del Potro,R,198.0,ARG,22.3,6-3 6-4,3,SF,95.0,13.0,1.0,56.0,35.0,30.0,10.0,10.0,1.0,2.0,8.0,0.0,69.0,36.0,22.0,18.0,9.0,7.0,10.0,8.0,3325.0,298.0,155.0
2011-404,Indian Wells Masters,Hard,96,M,20110310,93,104745,1.0,,Rafael Nadal,L,185.0,ESP,24.7,105223,,,Juan Martin del Potro,R,198.0,ARG,22.4,6-4 6-4,3,SF,112.0,4.0,2.0,55.0,31.0,25.0,14.0,10.0,2.0,3.0,3.0,2.0,63.0,43.0,26.0,10.0,10.0,1.0,4.0,1.0,12390.0,90.0,565.0
2011-403,Miami Masters,Hard,96,M,20110323,86,103888,14.0,,Mardy Fish,R,188.0,USA,29.2,105223,,,Juan Martin del Potro,R,198.0,ARG,22.4,7-5 7-6(5),3,R16,145.0,10.0,3.0,85.0,51.0,43.0,15.0,12.0,5.0,6.0,6.0,3.0,85.0,53.0,36.0,18.0,12.0,6.0,8.0,15.0,2106.0,51.0,925.0
2011-1536,Madrid Masters,Clay,56,M,20110501,41,104745,1.0,,Rafael Nadal,L,185.0,ESP,24.9,105223,,,Juan Martin del Potro,R,198.0,ARG,22.6,W/O,3,R16,,,,,,,,,,,,,,,,,,,,1.0,11915.0,32.0,1265.0
2011-520,Roland Garros,Clay,128,G,20110522,112,104925,2.0,,Novak Djokovic,R,188.0,SRB,24.0,105223,25.0,,Juan Martin del Potro,R,198.0,ARG,22.6,6-3 3-6 6-3 6-2,5,R32,176.0,6.0,2.0,96.0,57.0,44.0,25.0,18.0,3.0,5.0,5.0,3.0,113.0,66.0,43.0,21.0,17.0,7.0,12.0,2.0,11665.0,26.0,1355.0
2011-311,Queen's Club,Grass,56,A,20110606,44,105173,,,Adrian Mannarino,L,183.0,FRA,22.9,105223,12.0,,Juan Martin del Potro,R,198.0,ARG,22.6,7-6(3) 7-6(7),3,R16,121.0,5.0,1.0,98.0,68.0,42.0,21.0,12.0,8.0,10.0,16.0,2.0,77.0,52.0,40.0,11.0,12.0,0.0,2.0,54.0,898.0,22.0,1445.0
2011-423,Los Angeles,Hard,28,A,20110725,24,105208,,,Ernests Gulbis,R,190.0,LAT,22.8,105223,2.0,,Juan Martin del Potro,R,198.0,ARG,22.8,6-2 6-4,3,QF,97.0,8.0,1.0,54.0,32.0,24.0,13.0,9.0,2.0,3.0,2.0,3.0,60.0,34.0,18.0,12.0,9.0,2.0,6.0,84.0,645.0,19.0,1665.0
2011-560,US Open,Hard,128,G,20110829,106,104468,12.0,,Gilles Simon,R,183.0,FRA,26.6,105223,18.0,,Juan Martin del Potro,R,198.0,ARG,22.9,4-6 7-6(5) 6-2 7-6(3),5,R32,237.0,11.0,4.0,151.0,90.0,70.0,31.0,21.0,12.0,14.0,3.0,5.0,152.0,89.0,64.0,32.0,21.0,9.0,12.0,12.0,2325.0,18.0,1800.0
2011-429,Stockholm,Hard,28,A,20111017,20,103484,,,James Blake,R,185.0,USA,31.8,105223,2.0,,Juan Martin del Potro,R,198.0,ARG,23.0,6-4 6-4,3,R16,87.0,3.0,1.0,56.0,34.0,28.0,13.0,10.0,0.0,0.0,4.0,0.0,64.0,39.0,25.0,14.0,10.0,2.0,4.0,69.0,724.0,15.0,2030.0
2011-337,Vienna,Hard,28,A,20111024,27,104542,1.0,,Jo-Wilfried Tsonga,R,188.0,FRA,26.5,105223,2.0,,Juan Martin del Potro,R,198.0,ARG,23.0,6-7(5) 6-3 6-4,3,F,148.0,25.0,5.0,96.0,55.0,45.0,24.0,16.0,3.0,4.0,7.0,2.0,103.0,66.0,46.0,19.0,15.0,4.0,7.0,9.0,2880.0,15.0,2030.0
2011-573,Valencia,Hard,32,A,20111031,30,104719,,,Marcel Granollers,R,190.0,ESP,25.5,105223,6.0,,Juan Martin del Potro,R,198.0,ARG,23.1,6-4 7-6(4),3,SF,113.0,4.0,0.0,66.0,36.0,29.0,20.0,11.0,2.0,3.0,3.0,2.0,73.0,42.0,28.0,19.0,11.0,4.0,6.0,34.0,1145.0,14.0,2135.0
